Probability,Class
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.05,0.0
0.08432601880877742,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.6963963963963964,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
0.2,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9,1.0
0.9377777777777776,1.0
0.3,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.8416344916344917,1.0
1.0,1.0
1.0,1.0
0.1,0.0
0.016666666666666666,0.0
1.0,1.0
0.12,0.0
1.0,1.0
0.0,0.0
0.18,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.1130718954248366,0.0
0.0,0.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.11666666666666667,0.0
0.0,0.0
0.1,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.9,1.0
0.0,0.0
0.016666666666666666,0.0
0.0,0.0
0.7916344916344917,1.0
0.9297297297297298,1.0
0.1463963963963964,0.0
0.2130718954248366,0.0
1.0,1.0
0.0,0.0
0.3,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,0.0
0.1,0.0
1.0,1.0
0.9,1.0
0.9,1.0
0.02727272727272727,0.0
0.016666666666666666,0.0
1.0,1.0
0.0,0.0
0.016666666666666666,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.724967824967825,1.0
1.0,1.0
0.0,0.0
0.09639639639639638,0.0
0.9730158730158731,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.1130718954248366,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.2166666666666667,0.0
1.0,1.0
0.02972972972972973,0.0
0.0,0.0
0.7,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.016666666666666666,0.0
0.0,0.0
0.6,1.0
0.1,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.8466666666666667,1.0
1.0,1.0
0.0,0.0
0.0,0.0
