log_entropy,IR_norm_range,entropy_x_contrast,class
-2.5969561535966235,-0.7326486846240594,5.5387621,1.0
-3.8537540973041704,0.23651741935483872,25.233034999999997,0.0
-3.116770601931047,0.06237553191489357,23.16834625,0.0
-1.196004634676759,-0.1501286139914751,0.68796,1.0
-3.2493350323529095,-2.2060852482982316,10.42426796,1.0
-2.670754416358513,-1.0145679505088805,4.688590639999999,1.0
-1.870802676568508,0.042645077720207286,27.4152032,0.0
0.0,0.017459525180776817,0.0,1.0
-3.5301677629591155,0.12361397849462363,15.49677,0.0
-2.9150743705365363,0.132366847826087,10.21444528,0.0
-1.1267031688346354,0.008086776859504105,2.2984199700000003,0.0
-2.9040650850281673,0.07736486486486487,13.92902016,0.0
-3.803168600516064,0.1723805882352941,27.45083616,0.0
-2.9778923554256598,0.9210796610169494,11.718666279999999,0.0
-2.4651040224918206,-4.156771367322211,4.1299375000000005,1.0
-3.600868576791223,0.14782303370786518,23.84279625,0.0
-1.2187480899080902,-1.516254416961132,39.168241519999995,1.0
-1.6702500518308578,0.23336253124532652,15.786837060000002,1.0
-0.30543879404103996,0.003953846153846116,0.13203456,0.0
-2.4349742810397914,0.0647264248704663,27.505305,0.0
-2.1715568305876416,0.023765887850467335,14.0528712,0.0
-3.7131721466829806,0.1514179190751445,19.345237440000002,0.0
-3.8212686421596818,0.3632305194805195,18.510243539999998,0.0
-2.2662531637466556,-0.7011888867696613,6.542609290000001,1.0
-0.640934309113011,-0.06242002161029917,0.26561256,1.0
-1.048109306495003,-0.07620171222141624,0.50689748,1.0
-2.7165865321244964,0.023544090909090896,9.10775375,0.0
-3.645819964653489,0.08936686046511635,20.842045380000002,0.0
-3.835061964292018,0.33444671052631586,21.24369072,0.0
-1.9646853043816475,0.014890366972477122,10.257971340000001,0.0
-1.7226066105397384,-0.4864016282491143,1.3461975,1.0
-3.114515809543958,0.17101806451612905,20.215137960000003,0.0
-2.104554242494911,-0.5703329281410421,11.50330073,1.0
-2.00544786177151,-0.5628713959303506,2.24893718,1.0
-3.645819964653489,0.1046876470588235,30.013478370000005,0.0
