Probability,Class
0.0,0.0
1.0,1.0
0.7142857142857143,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.023076923076923078,0.0
1.0,1.0
1.0,1.0
0.9,1.0
0.95,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.3142857142857143,0.0
1.0,1.0
0.1,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.9,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
0.0,0.0
0.9,1.0
0.6,1.0
0.7,1.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.8,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.025,0.0
0.0,0.0
0.0,0.0
0.4,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.8,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.023076923076923078,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.1,0.0
0.0,0.0
0.025,0.0
0.014285714285714285,0.0
0.0,0.0
0.9,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.1,0.0
0.9,1.0
1.0,1.0
0.0,0.0
0.7,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.8,1.0
0.0,0.0
0.014285714285714285,0.0
0.025,0.0
0.0,0.0
0.0,0.0
0.9,1.0
0.0,0.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.9,1.0
0.0,0.0
0.3,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.4,0.0
0.1,0.0
0.7,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.125,0.0
1.0,1.0
0.1,0.0
0.4,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.9,1.0
0.4,0.0
0.1,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.6,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.7,1.0
0.6,1.0
1.0,1.0
0.0,0.0
0.6,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.014285714285714285,0.0
0.0,0.0
0.4,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.5,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.2,0.0
1.0,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.3,0.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.725,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.025,0.0
0.0,0.0
0.9,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
0.0,0.0
0.025,0.0
1.0,1.0
0.8,1.0
0.5142857142857142,1.0
0.1,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.3,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.1,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.9,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.6142857142857143,1.0
0.7,1.0
0.2,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9,1.0
1.0,1.0
0.025,0.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
0.2,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.7,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.1,0.0
0.05,0.0
0.7,1.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9,1.0
0.0,0.0
0.9,1.0
0.1,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.014285714285714285,0.0
0.023076923076923078,0.0
0.0,0.0
0.7,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.7,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.3142857142857143,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.0,0.0
0.014285714285714285,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
0.1,0.0
0.014285714285714285,0.0
0.95,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.625,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.2,0.0
0.1,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8,1.0
1.0,1.0
0.0,0.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.1,0.0
0.075,0.0
0.0,0.0
0.6,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.2,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.2,0.0
1.0,1.0
1.0,1.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
0.625,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.2,0.0
1.0,1.0
1.0,1.0
0.1,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.15,0.0
1.0,1.0
0.0,0.0
0.9,1.0
1.0,1.0
0.9,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.4,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.2,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.1,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.014285714285714285,0.0
1.0,1.0
0.3,0.0
1.0,1.0
0.0,0.0
0.023076923076923078,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
0.9,1.0
0.0,0.0
0.6,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.11428571428571428,0.0
0.925,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.8,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
1.0,1.0
0.3,0.0
0.0,0.0
0.0,0.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.5,0.0
1.0,1.0
0.8,1.0
1.0,1.0
0.0,0.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.014285714285714285,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.6,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.6,1.0
0.9,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8,1.0
0.9,1.0
0.025,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.9,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.8,1.0
0.4,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.3,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.6,1.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.8,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.9,1.0
0.1,0.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1,0.0
1.0,1.0
0.1,0.0
1.0,1.0
0.2,0.0
1.0,1.0
1.0,1.0
0.023076923076923078,0.0
1.0,1.0
1.0,1.0
0.8,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.1,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.8,1.0
0.0,0.0
1.0,1.0
0.4,0.0
0.0,0.0
0.8,1.0
1.0,1.0
0.0,0.0
0.11428571428571428,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.2,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.2,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
